14,9667
56,2
-4,5333
52,365
13,1434
-20,4286
62,4869
-12,065
48,6239
55,95
32,8088
-12,7719
-21,7106
49,8719
51,8908
15,9239
36,2644
35,4675
49,8083
50,9328
-21,7783
22,636
26,0336
43,2092
45,003
30,074
46,9398
-19,8167
21,2161
25,5263
23,1794
24,2433
46,6167
36,8667
36,8339
31,8325
-19,0167
46,3606
38,9016
47,0532
53,4539
37,9167
41,6478
24,6297
10,7
-14,2833
35,9363
33,4426
49,9467
45,8969
31,6833
50,7
6,65
47,3667
45,0833
35,5285
64,1333
25,3032
18,16
44,8742
40,1899
46,6833
42,3012
40,3058
-33,3833
39,5362
-16,5822
50,7
11,7833
22,4667
-29,2833
43,9667
28,3
13,7
50,5333
45,6083
40,8034
48,2667
39,3919
46,05
16,5904
52,8833
52,0458
25,0829
58,8869
12,2417
-6,6167
32,9441
8,4644
39,0833
43,6441
39,7415
32,7775
46,28
55,9597
-42,9769
-29,6833
53,5399
24,1277
40,61
40,1167
-33,2833
16,72
30,1839
58,85
-23,2
-27,3289
34,2
43,5331
48,8788
51,347
26,4629
14,6092
52,408
12,678
33,7333
41,7926
51,05
43,48
39,9014
-29,4081
51,7381
13,8692
18,4246
50,7333
51,2833
45,65
38,55
1,6983
-1,0378
24,2323
44,2493
34,9667
48,8783
45,7373
42,725
-0,6094
36,6856
44,6833
39,7931
17,25
50,1
22,9589
23,4675
51,871
51,8877
41,0936
26,9861
52,8437
53,905
25,3453
12,6499
10,5172
26,5793
36,2333
-36,7833
-20,9528
17,203
50,85
25,7487
36,305
54,3667
-17,7796
-1,6263
16,0007
-32,6617
14,7167
51,05
12,7861
-26,9333
48,0833
37,3333
16,6
8,4497
51,558
38,2814
16,9228
20,7844
-27,7333
53,8022
-21,0278
-11,1
-4,1
16,45
40,9649
35,2724
25,9217
36,2403
-38,6
23,7445
16,365
47,0667
50,4192
-20,615
5,894
10,3144
25,0711
43,0438
50,4925
-8,6167
47,8
40,7385
-20,7
52,6
25,2833
34,3608
18,2983
16,5066
9,8639
-21,1939
22,0346
38,9081
49,2333
26,2623
26,3448
42,6667
34,214
-21,1
50,3167
35,2606
25,571
40,2123
52,9
23,4353
-23,6406
43,5247
31,2294
41,3483
46,8961
28,3237
9,6171
-23,9
-7,6319
40,9167
51,0833
10,2958
41,6445
33,9874
35,37
10,7936
51,9
17,35
13,339
17,5175
37,8167
37,222
16,59
15,2861
-18,5658
49,9083
22,3815
40,679
46,75
30,6559
56,3315
51,5667
18,0258
41,2833
7,3167
-5,6667
25,4132
45,6833
50,856
26,2331
-8,7333
42,7861
34,1253
33,1399
35,683
-8,6595
41,4765
47,4667
26,4812
26,5495
32,0867
48,0147
-5,2667
32,0683
39,9667
47,1667
55,9538
14,9267
25,5179
47,4278
37,2667
13,975
30,4015
20,1333
16,1209
39,8774
-28,4167
16,6237
8,9803
22,9717
38,1
35,5156
-33,5167
13,5333
25,3129
45,6533
24,52
50,2953
26,2176
13,7125
-14,8978
11,8284
40,6866
41,7463
51,9811
29,875
21,6528
61,4522
17,1089
-12,5289
47,6453
41,0829
47,9542
42,6811
25,6258
42,0667
-23,2219
26,129
39,3819
37,1842
41,2333
49,3833
-34,4792
41,2415
-13,0167
47,8058
63,7465
43,8011
43,1667
9,9539
10,9192
39,94
-36,5519
7,0333
-13,9
33,1108
51,424
12,569
17,7167
41,0667
60,5833
-16,5339
-10,7908
36,4917
36,2941
12,7333
-22,7833
49,8039
13,8111
43,0769
12,6833
-6,3658
-11,8128
-1,4167
47,39
25,4943
42,7243
34,5897
61
51,1333
48,615
37,7167
54,5667
-7,6
42,5984
-28,8833
40,2306
48,7002
42,0911
38,9621
42,4589
10,255
48,5397
54,902
-35,5333
49,8
22,5694
9,9604
31,6351
16,5191
44,6242
-9,2789
41,0555
20,0167
-3,1
38,3
17,0619
25,5456
42,8139
42,8038
42,8333
39,8935
39,1166
-16,3689
52,3446
33,6951
27,6363
52,3833
-18,75
5,2167
31,6767
20,35
43,0528
29,5085
38,8631
-20,6478
43,1583
22,891
40,8348
55,8667
15,6145
36,2933
29,5283
44,4361
34,3562
26,7216
14,715
44,65
-19,99
-8,8333
39,9137
40,85
-5,3158
33,732
40,8225
35,4854
44,0333
33,292
52,4933
48,6064
-9,4917
-17,9714
-15,9
42,8333
52,1333
50,7605
14,1667
-22,0633
50,8333
43,0569
43,5
54,4833
5,3442
35,9806
18,0832
26,4759
56,2833
-13,2919
38,0176
47,5533
18,7147
11,1417
45,03
-14,1333
-16,375
24,916
25,133
51,6317
45,35
38,0486
33,556
36,0833
-16,6172
36,2667
51,2236
52,9428
45,6333
-20,0008
26,1861
44,4333
55,4889
50,8667
30,7306
24,9833
40,6207
27,4825
54,65
59,15
-6,85
35,8111
38,8518
0,2583
33,5775
38,0617
-2,1328
57,5833
46,5
52,6
16,0833
25,852
-12,9308
33,1832
55,9667
-29,5833
34,9167
51,5166
29,5981
20,1667
-26,2386
51,36
55,6333
51,2167
18,7067
52,5408
25,8882
38,5352
-12,9092
35,9561
-30,3833
-20,9228
-27,0775
41,0833
36,1039
13,75
6,4667
5,9167
35,45
-14,4228
32,3756
45,3
18,348
48,9167
45,2167
50,1436
48,65
56,2667
43,7417
9,828
22,1858
35,3333
-15,6
42,0833
25,6561
18,0289
25,6561
33,9765
3,0667
26,4989
41,7187
36,34
9,7
12,9447
13,9756
-5,275
-6,7869
10,9706
42,0699
32,6758
31,3453
8,6722
28,933
5,3069
14,8365
25,1269
32,4199
-32,1667
52,368
14,1993
39,9644
21,1333
51,85
-26,9242
37,5833
53,3508
28,029
-19
52,7833
18,5403
-6,45
-5,6169
-5,3608
52,25
61,6191
40,7167
-20,0878
38,962
10,3979
40,4629
-29,6258
-26,3178
17,4262
-7,0833
23,4313
20,0167
45,8267
61,6333
26,3938
51,3833
47,8392
50,9167
-5,5158
45,5697
47,011
17,5947
25,1821
26,3717
10,1333
17,9
30,6286
39,9706
42,6713
-7,3167
47,965
12,8167
-38,4333
52,35
34,5312
49,9889
43,4075
8,3636
48,6797
40,7833
34,1985
33,9244
52,5667
-8,7269
25,7465
44,9125
28,1587
27,794
32,7342
30,2523
45,8522
17,18
-7,3778
10,5515
40,7697
-6,1308
-4,1333
42,9472
13,6167
-8,8833
-22,9261
25,2874
33,0094
